"id","label","obsolete","ordering"
"8001","label.car.8001","0","0"
"8002","label.car.8002","0","10"
"8003","label.car.8003","0","20"
"8004","label.car.8004","0","30"
"8005","label.car.8005","0","40"
"8006","label.car.8006","0","50"
"8007","label.car.8007","0","60"
"8008","label.car.8008","0","70"
"8009","label.car.8009","0","80"
"8010","label.car.8010","0","90"
"8011","label.car.8011","0","100"
"8012","label.car.8012","0","110"
"8013","label.car.8013","0","120"
"8014","label.car.8014","0","130"
"9001","label.car.9001","0","140"
