"id","label","obsolete","ordering"
"car.0","label.car.0","0","0"
"car.10","label.car.10","0","10"
"car.20","label.car.20","0","20"
"car.30","label.car.30","0","30"
"car.40","label.car.40","0","40"
"car.50","label.car.50","0","50"
"car.60","label.car.60","0","60"
"car.70","label.car.70","0","70"
"car.80","label.car.80","0","80"
"car.90","label.car.90","0","90"
"car.100","label.car.100","0","100"
"car.110","label.car.110","0","110"
"car.120","label.car.120","0","120"
"car.130","label.car.130","0","130"
