"id","label","obsolete","ordering"
"001","Dieta completa nacional con pernocta","0","001"
"002","Dieta media nacional sin pernocta","0","002"
"003","Dieta completa extranjero con pernocta","0","003"
"004","Dieta media extranjero sin pernocta","0","004"
"102","Invitacion a terceros y actos internos de reconocimiento nacional","0","102"
"103","Invitacion a terceros y actos internos de reconocimiento internacional:36","0","103"
"201","Billetes transporte","0","201"
"202","Peaje","0","202"
"203","Parking","0","203"
"204","Taxis","0","204"
"205","Combustible","0","205"
"206","Telefono","0","206"
"207","Internet","0","207"
"208","Lavanderia","0","201"
"300","Otros","0","300"
