"id","label","obsolete","ordering"
"00","Alcalá","0","0"
"01",Red Secundaria Madrid Norte","0","01"
"02",Red Secundaria Madrid Sur","0","02"
"06","Oca-Pausa","0","10"
"09","Sede España","0","20"
"10","Avda. Andalucía","0","30"
"15","Majadahonda","0","40"
"16","Las Rozas","0","50"
"18","Alcorcón","0","60"
"19","Pole Madrid","0","70"
"20","Avda. Burgos","0","80"
"22","G. Yagüe","0","90"
"24","C. Empleados","0","100"
"29","RME","0","110"
"50","Esplugas","0","120"
"52","Pole Barcelona","0","130"
"54","RBE","0","135"
"55","Maquinista","0","140"
"56","Sentmenat","0","150"
"57","Zona Franca","0","160"
"58","Cornella","0","170"
"59","Red Secundaria Barcelona","0","175"
"60","Castellón","0","180"
"70","Ademuz","0","190"
"71","Avda Puerto - Islas Canarias","0","200"
"72","Tres Cruces","0","210"
"73","Pole Levante","0","220"
"74","Red Secundaria Levante","0","230"
"75","RLE","0","235"
"76","Vilareal","0","240"
