"id","label","obsolete","ordering"
"00","0200","0","0"
"06","0206","0","10"
"09","0509","0","20"
"10","0210","0","30"
"15","0115","0","40"
"16","0116","0","50"
"18","0118","0","60"
"19","0519","0","70"
"20","0120","0","80"
"22","0122","0","90"
"24","0124","0","100"
"29","0529","0","110"
"50","0350","0","120"
"52","0352","0","130"
"55","0355","0","140"
"56","0356","0","150"
"57","0357","0","160"
"58","0358","0","170"
"60","0460","0","180"
"70","0470","0","190"
"71","0471","0","200"
"72","0472","0","210"
"73","0473","0","220"
"74","0474","0","230"
"76","0476","0","240"
