"id","label","obsolete","ordering"
"0001","label.administrative.route0001","0","10"
"0002","label.administrative.route0002","0","20"
"0003","label.administrative.route0003","0","30"
"0004","label.administrative.route0004","0","40"
"0005","label.administrative.route0005","0","50"
"0006","label.administrative.route0006","0","60"
"0007","label.administrative.route0007","0","70"
"0008","label.administrative.route0008","0","80"
"0009","label.administrative.route0009","0","90"
"0010","label.administrative.route0010","0","100"
"0011","label.administrative.route0011","0","110"
"0012","label.administrative.route0012","0","120"
"0013","label.administrative.route0013","0","130"
"0014","label.administrative.route0014","0","140"
"0015","label.administrative.route0015","0","150"
"0016","label.administrative.route0016","0","160"
"0017","label.administrative.route0017","0","170"
"0018","label.administrative.route0018","0","180"
"0019","label.administrative.route0019","0","190"
"0020","label.administrative.route0020","0","200"
"0021","label.administrative.route0021","0","210"
"0022","label.administrative.route0022","0","220"
"0023","label.administrative.route0023","0","230"
"0024","label.administrative.route0024","0","240"
"0025","label.administrative.route0025","0","250"
"0026","label.administrative.route0026","0","260"
"0027","label.administrative.route0027","0","270"
"0028","label.administrative.route0028","0","280"
