"id","label","obsolete","ordering"
"1","label.administrative.route.secondary1","0","1"
"2","label.administrative.route.secondary2","0","2"
"3","label.administrative.route.secondary3","0","3"
"4","label.administrative.route.secondary4","0","4"
"5","label.administrative.route.secondary5","0","5"
"6","label.administrative.route.secondary6","0","6"
"7","label.administrative.route.secondary7","0","7"
"8","label.administrative.route.secondary8","0","8"
"9","label.administrative.route.secondary9","0","9"
"10","label.administrative.route.secondary10","0","10"
"11","label.administrative.route.secondary11","0","11"
"12","label.administrative.route.secondary12","0","12"
"13","label.administrative.route.secondary13","0","13"
"14","label.administrative.route.secondary14","0","14"
"15","label.administrative.route.secondary15","0","15"
"16","label.administrative.route.secondary16","0","16"
"17","label.administrative.route.secondary17","0","17"
"18","label.administrative.route.secondary18","0","18"
"19","label.administrative.route.secondary19","0","19"
"20","label.administrative.route.secondary20","0","20"
"21","label.administrative.route.secondary21","0","21"
"22","label.administrative.route.secondary22","0","22"
"23","label.administrative.route.secondary23","0","23"
"24","label.administrative.route.secondary24","0","24"
"25","label.administrative.route.secondary25","0","25"
"26","label.administrative.route.secondary26","0","26"
"27","label.administrative.route.secondary27","0","27"
"28","label.administrative.route.secondary28","0","28"
"29","label.administrative.route.secondary29","0","29"
"30","label.administrative.route.secondary30","0","30"
"31","label.administrative.route.secondary31","0","31"
"32","label.administrative.route.secondary32","0","32"
"33","label.administrative.route.secondary33","0","33"
"34","label.administrative.route.secondary34","0","34"
"35","label.administrative.route.secondary35","0","35"
"36","label.administrative.route.secondary36","0","36"
"37","label.administrative.route.secondary37","0","37"
"38","label.administrative.route.secondary38","0","38"
"39","label.administrative.route.secondary39","0","39"
"40","label.administrative.route.secondary40","0","40"
"41","label.administrative.route.secondary41","0","41"
"42","label.administrative.route.secondary42","0","42"
"43","label.administrative.route.secondary43","0","43"
"44","label.administrative.route.secondary44","0","44"
"45","label.administrative.route.secondary45","0","45"
"46","label.administrative.route.secondary46","0","46"
"47","label.administrative.route.secondary47","0","47"
"48","label.administrative.route.secondary48","0","48"
"49","label.administrative.route.secondary49","0","49"
"50","label.administrative.route.secondary50","0","50"
"51","label.administrative.route.secondary51","0","51"
"52","label.administrative.route.secondary52","0","52"
"53","label.administrative.route.secondary53","0","53"
"54","label.administrative.route.secondary54","0","54"
"55","label.administrative.route.secondary55","0","55"
"56","label.administrative.route.secondary56","0","56"
"57","label.administrative.route.secondary57","0","57"
"58","label.administrative.route.secondary58","0","58"
"59","label.administrative.route.secondary59","0","59"
"60","label.administrative.route.secondary60","0","60"
"61","label.administrative.route.secondary61","0","61"
"62","label.administrative.route.secondary62","0","62"
"63","label.administrative.route.secondary63","0","63"
"64","label.administrative.route.secondary64","0","64"
"65","label.administrative.route.secondary65","0","65"
"66","label.administrative.route.secondary66","0","66"
"67","label.administrative.route.secondary67","0","67"
"68","label.administrative.route.secondary68","0","68"
"69","label.administrative.route.secondary69","0","69"
"70","label.administrative.route.secondary70","0","70"
"71","label.administrative.route.secondary71","0","71"
"72","label.administrative.route.secondary72","0","72"
"73","label.administrative.route.secondary73","0","73"
"74","label.administrative.route.secondary74","0","74"
"75","label.administrative.route.secondary75","0","75"
"76","label.administrative.route.secondary76","0","76"
"77","label.administrative.route.secondary77","0","77"
"78","label.administrative.route.secondary78","0","78"
"79","label.administrative.route.secondary79","0","79"
"80","label.administrative.route.secondary80","0","80"
"81","label.administrative.route.secondary81","0","81"
"82","label.administrative.route.secondary82","0","82"
"83","label.administrative.route.secondary83","0","83"
"84","label.administrative.route.secondary84","0","84"
"85","label.administrative.route.secondary85","0","85"
"86","label.administrative.route.secondary86","0","86"
"87","label.administrative.route.secondary87","0","87"
"88","label.administrative.route.secondary88","0","88"
"89","label.administrative.route.secondary89","0","89"
"90","label.administrative.route.secondary90","0","90"
"91","label.administrative.route.secondary91","0","91"
"92","label.administrative.route.secondary92","0","92"
"93","label.administrative.route.secondary93","0","93"
"94","label.administrative.route.secondary94","0","94"
"95","label.administrative.route.secondary95","0","95"
"96","label.administrative.route.secondary96","0","96"
"97","label.administrative.route.secondary97","0","97"
"98","label.administrative.route.secondary98","0","98"
"99","label.administrative.route.secondary99","0","99"
"100","label.administrative.route.secondary100","0","100"
"101","label.administrative.route.secondary101","0","101"
"102","label.administrative.route.secondary102","0","102"
"103","label.administrative.route.secondary103","0","103"
"104","label.administrative.route.secondary104","0","104"
"105","label.administrative.route.secondary105","0","105"
"106","label.administrative.route.secondary106","0","106"
"107","label.administrative.route.secondary107","0","107"
"108","label.administrative.route.secondary108","0","108"
