"id","label","obsolete","ordering"
"1","19.7","0","1"
"2","10.2","0","2"
"3","38.7","0","3"
"4","28","0","4"
"5","6.2","0","5"
"6","19.3","0","6"
"7","26.1","0","7"
"8","18.2","0","8"
"9","18.7","0","9"
"10","29.1","0","10"
"11","16.8","0","11"
"12","9.2","0","12"
"13","34.5","0","13"
"14","30","0","14"
"15","35.5","0","15"
"16","8.5","0","16"
"17","16.6","0","17"
"18","33.6","0","18"
"19","18.9","0","19"
"20","32.3","0","20"
"21","17.7","0","21"
"22","25.5","0","22"
"23","20.9","0","23"
"24","22.3","0","24"
"25","8","0","25"
"26","17.3","0","26"
"27","23.2","0","27"
"28","23.3","0","28"
"1000","15.55","0","1000"
"1001","6.35","0","1001"
"1002","4.95","0","1002"
"1003","8","0","1003"
"1004","6.35","0","1004"
"1005","20.55","0","1005"
"1006","15.45","0","1006"
"1007","16.75","0","1007"
"1008","20.55","0","1008"
"1009","9.85","0","1009"
"1010","7.4","0","1010"
"1011","0","0","1011"
"1012","3.7","0","1012"
"1013","9.85","0","1013"
"1014","7.4","0","1014"
"2000","9.7","0","2000"
"2001","7.9","0","2001"
"2002","77.2","0","2002"
"2003","71.8","0","2003"
"2004","10.7","0","2004"
"2005","84","0","2005"
"2006","78.6","0","2006"
"2007","75","0","2007"
"2008","69.7","0","2008"
"2009","10.2","0","2009"
