"id","label","obsolete","ordering"
"1","10.2","0","1"
"2","12.4","0","2"
"3","13.2","0","3"
"4","9","0","4"
"5","28.2","0","5"
"6","15","0","6"
"7","12.5","0","7"
"8","20.1","0","8"
"9","12","0","9"
"10","16.6","0","10"
"11","20.3","0","11"
"12","18.9","0","12"
"13","23","0","13"
"14","20.4","0","14"
"15","25.8","0","15"
"16","28.8","0","16"
"17","12.6","0","17"
"18","15.9","0","18"
"19","16.8","0","19"
"20","8.6","0","20"
"21","23.3","0","21"
"22","19.7","0","22"
"23","160","0","23"
"24","208","0","24"
"25","173","0","25"
"26","24.7","0","26"
"27","87.3","0","27"
"28","6.1","0","28"
"29","35.7","0","29"
"30","52.9","0","30"
"31","73.7","0","31"
"32","50.9","0","32"
"33","45.3","0","33"
"34","35.4","0","34"
"35","42.5","0","35"
"36","27.1","0","36"
"37","4.7","0","37"
"38","45.7","0","38"
"39","8","0","39"
"40","9.3","0","40"
"41","39.9","0","41"
"42","18.6","0","42"
"43","18.4","0","43"
"44","17.2","0","44"
"45","12.1","0","45"
"46","30.9","0","46"
"47","17.2","0","47"
"48","23.9","0","48"
"49","26","0","49"
"50","11.5","0","50"
"51","3.1","0","51"
"52","9.3","0","52"
"53","9.2","0","53"
"54","10.3","0","54"
"55","11.2","0","55"
"56","20","0","56"
"57","20.5","0","57"
"58","19.6","0","58"
"59","21.5","0","59"
"60","22.4","0","60"
"61","13.6","0","61"
"62","28.3","0","62"
"63","9.1","0","63"
"64","156","0","64"
"65","188","0","65"
"66","169","0","66"
"67","20.7","0","67"
"68","78.9","0","68"
"69","21","0","69"
"70","36.7","0","70"
"71","34.3","0","71"
"72","54.4","0","72"
"73","42.5","0","73"
"74","53.9","0","74"
"75","44.1","0","75"
"76","49.5","0","76"
"77","20.3","0","77"
"78","15.9","0","78"
"79","37.3","0","79"
"80","17.7","0","80"
"81","17.5","0","81"
"82","26.2","0","82"
"83","1.9","0","83"
"84","1.2","0","84"
"85","2","0","85"
"86","3.1","0","86"
"87","19.6","0","87"
